Date,Open,High,Low,Close,Volume
2025-03-07,379.5,380.65,368.9,376.8,4573900
2025-03-06,383.5,387.76,380.73,381.73,4222000
2025-03-05,379.0,387.12,378.01,386.35,2780300
2025-03-04,386.15,387.96,378.9,381.68,4384800
2025-03-03,396.95,397.07,386.47,389.69,3397600
2025-02-28,394.42,396.87,390.28,396.6,4263500
2025-02-27,389.91,395.47,388.33,390.27,2825100
2025-02-26,395.24,398.87,388.56,390.48,3871500
2025-02-25,385.0,401.01,384.19,393.29,6823900
2025-02-24,386.09,386.55,378.2,382.42,5722000
2025-02-21,396.4,397.82,383.9,385.3,5287000
2025-02-20,393.0,394.76,391.1,394.64,2703500
2025-02-19,397.22,398.64,392.94,395.43,3780000
2025-02-18,408.31,408.87,400.22,403.31,3994000
2025-02-14,415.0,418.0,408.56,409.5,3004400
2025-02-13,408.71,412.98,407.49,412.43,3067900
2025-02-12,408.58,409.65,402.12,407.14,3387000
2025-02-11,414.0,416.57,412.74,416.36,1441800
2025-02-10,410.64,414.95,408.79,413.99,2617600
2025-02-07,413.2,414.29,406.5,407.37,2530200
2025-02-06,414.91,417.79,413.0,414.16,2023700
2025-02-05,415.15,415.15,408.14,413.82,2212100
2025-02-04,409.51,412.58,406.09,411.49,2150800
2025-02-03,406.12,411.9,401.01,408.76,2896200
2025-01-31,413.17,416.38,410.32,411.98,2761800
2025-01-30,416.41,417.32,411.52,414.5,3081300
2025-01-29,420.22,421.37,411.79,413.42,2384900
2025-01-28,423.24,423.24,416.7,418.83,2818300
2025-01-27,414.9,426.19,414.0,424.87,3699200
2025-01-24,414.09,415.01,410.76,414.5,2369800
2025-01-23,411.57,414.69,408.75,414.39,3840300
2025-01-22,417.55,417.55,409.33,410.1,3581400
2025-01-21,413.0,420.22,413.0,418.43,3568100
2025-01-17,413.49,414.45,408.53,409.38,3229000
2025-01-16,406.27,410.11,403.92,409.33,2305900
2025-01-15,406.65,408.0,401.76,406.09,4584800
2025-01-14,390.59,394.2,389.63,392.78,3405200
2025-01-13,389.99,395.86,387.7,389.18,3512900
2025-01-10,388.91,392.91,384.62,389.89,5323400
2025-01-08,383.0,387.69,380.1,387.2,2848500
2025-01-07,390.9,391.9,383.1,384.23,2274300
2025-01-06,390.5,393.99,388.03,389.37,3274500
