A,07-Mar-2025,125.95,128.1,124.4,126.7,2056000
AA,07-Mar-2025,32.25,33.38,31.835,32.84,4178800
AAA,07-Mar-2025,25.11,25.15,25.08,25.08,38400
AAAU,07-Mar-2025,28.82,28.96,28.685,28.76,1851300
AAC.T,07-Mar-2025,0.1575,0.1899,0.1575,0.1678,6800
AACBU,07-Mar-2025,10.03,10.04,10.02,10.04,27700
AACG,07-Mar-2025,1.03,1.0899,0.9317,1.0593,189300
AACT,07-Mar-2025,11.1,11.1,11.09,11.1,11500
AADI,07-Mar-2025,2.1,2.2299,2.0416,2.12,58300
AADR,07-Mar-2025,76.05,76.49,75.12,76.12,2900
AAL,07-Mar-2025,13.13,13.18,12.58,13.03,76618800
AAM,07-Mar-2025,10.24,10.24,10.21,10.22,48200
AAM.W,07-Mar-2025,0.0582,0.0582,0.0511,0.0511,1400
AAME,07-Mar-2025,1.43,1.46,1.41,1.41,5200
AAMI,07-Mar-2025,24.06,24.44,23.59,24.24,315700
AAOI,07-Mar-2025,15.92,16.21,14.91,15.82,3589400
AAON,07-Mar-2025,81.25,82.8,79.37,82.07,1591900
AAP,07-Mar-2025,33.5,35.6,33.0753,35.37,3486700
AAPB,07-Mar-2025,29.08,30.54,29.03,30,76300
AAPD,07-Mar-2025,16.26,16.27,15.83,15.98,1176500
AAPG,07-Mar-2025,19.53,19.93,19.5,19.93,17600
AAPL,07-Mar-2025,235.1,241.37,234.76,239.07,46273500
AAPR,07-Mar-2025,26.33,26.39,26.27,26.3811,21200
AAPU,07-Mar-2025,32.22,33.92,32.18,33.28,459000
AAPW,07-Mar-2025,47.6096,48.78,47.6096,48.5616,4700
AAPX,07-Mar-2025,27.53,28.99,27.53,28.49,45800
AAPY,07-Mar-2025,25.27,25.4718,25.235,25.4672,4900
AARD,07-Mar-2025,9.43,10.515,9.43,10.13,210300
AAT,07-Mar-2025,21.43,21.595,21.03,21.33,427600
AAVM,07-Mar-2025,24.28,24.76,24.28,24.73,3800
AAXJ,07-Mar-2025,75.84,76.23,75.24,75.86,555100
AB,07-Mar-2025,37.78,38.036,37.63,37.81,285600
ABAT,07-Mar-2025,0.99,1.04,0.93,1.01,865400
ABBV,07-Mar-2025,211.11,214.99,209,214.29,6806100
ABCB,07-Mar-2025,59.5,59.52,57.81,58.78,569200
ABCL,07-Mar-2025,2.38,2.4097,2.25,2.33,4304900
ABCS,07-Mar-2025,28.0701,28.235,27.9199,28.2124,3700
ABEO,07-Mar-2025,5.32,5.45,5.08,5.16,560700
ABEQ,07-Mar-2025,33.19,33.4,33.19,33.4,2200
ABEV,07-Mar-2025,2.19,2.24,2.17,2.23,21844800
ABFL,07-Mar-2025,65.14,66.1,64.67,66.07,16300
ABG,07-Mar-2025,255.64,257.01,247.94,254.84,134300
ABHY,07-Mar-2025,19.2496,19.2496,19.2496,19.2496,0
ABL,07-Mar-2025,7.52,7.56,7.165,7.43,117100
ABLD,07-Mar-2025,28.32,28.6884,28.31,28.6884,500
ABLG,07-Mar-2025,29.72,29.96,29.6,29.94,13100
ABLLL,07-Mar-2025,26.15,26.34,26.15,26.32,15700
ABLLW,07-Mar-2025,1.45,1.47,1.2501,1.47,11900
ABLS,07-Mar-2025,22.4295,22.4295,22.4295,22.4295,0
ABLV,07-Mar-2025,0.68,1.74,0.631,1.74,5135200
ABLVW,07-Mar-2025,0.03,0.031,0.023,0.031,215900
ABM,07-Mar-2025,52.16,54.9,52.16,54.64,400500
ABNB,07-Mar-2025,134.71,134.73,130.37,134.39,5616800
ABNY,07-Mar-2025,13.75,13.85,13.33,13.76,12100
ABOS,07-Mar-2025,1.24,1.27,1.21,1.25,109500
ABOT,07-Mar-2025,34.85,35.3183,34.85,35.3183,500
ABP,07-Mar-2025,0.5175,0.55,0.495,0.51,48700
ABR,07-Mar-2025,11.81,12.33,11.6702,12.23,5343800
ABR-D,07-Mar-2025,17.72,17.9757,17.72,17.77,8200
ABR-E,07-Mar-2025,17.37,17.68,17.37,17.41,8600
